kinematics,detector,target,Q2,hmsAngle,shmsAngle,hmsMomentum,shmsMomentum,efficiency,efficiencyErrorefficiencyUnweighted,efficiencyUnweightedErrorUp,efficiencyUnweightedErrorLo
LH2_Q2_8,pCer,LH2,8.000000,45.100000,17.100000,2.131000,5.122000,0.998972,0.000001,0.998843,0.000343,0.000464
LH2_Q2_8,hCal,LH2,8.000000,45.100000,17.100000,2.131000,5.122000,0.994720,0.000004,0.994348,0.000765,0.000876
LH2_Q2_8,hCer,LH2,8.000000,45.100000,17.100000,2.131000,5.122000,0.999138,0.000002,0.999054,0.000309,0.000432
LH2_Q2_10,pCer,LH2,9.500000,23.200000,21.600000,5.539000,5.925000,0.999565,0.000009,0.999426,0.000371,0.000756
LH2_Q2_10,hCal,LH2,9.500000,23.200000,21.600000,5.539000,5.925000,0.997069,0.000014,0.995998,0.001056,0.001377
LH2_Q2_10,hCer,LH2,9.500000,23.200000,21.600000,5.539000,5.925000,0.996301,0.000013,0.994292,0.001263,0.001577
LH2_Q2_12,pCer,LH2,11.500000,28.500000,17.800000,4.478000,7.001000,1.000000,0.000032,1.000000,0.000000,0.001263
LH2_Q2_12,hCal,LH2,11.500000,28.500000,17.800000,4.478000,7.001000,0.997611,0.000071,0.996580,0.001476,0.002307
LH2_Q2_12,hCer,LH2,11.500000,28.500000,17.800000,4.478000,7.001000,0.998786,0.000068,0.998629,0.000885,0.001805
LH2_Q2_14,pCer,LH2,14.300000,39.300000,12.800000,2.982000,8.505000,0.998971,0.000029,0.997986,0.001301,0.002650
LH2_Q2_14,hCal,LH2,14.300000,39.300000,12.800000,2.982000,8.505000,0.995425,0.000133,0.992986,0.002583,0.003757
LH2_Q2_14,hCer,LH2,14.300000,39.300000,12.800000,2.982000,8.505000,1.000000,0.000119,1.000000,0.000000,0.001856
C12_Q2_8,pCer,C12,8.000000,45.100000,17.100000,2.131000,5.122000,0.999137,0.000003,0.998158,0.000546,0.000738
C12_Q2_8,hCal,C12,8.000000,45.100000,17.100000,2.131000,5.122000,0.987798,0.000016,0.985780,0.001522,0.001691
C12_Q2_8,hCer,C12,8.000000,45.100000,17.100000,2.131000,5.122000,0.990135,0.000014,0.987904,0.001406,0.001577
C12_Q2_10,pCer,C12,9.500000,23.200000,21.600000,5.539000,5.925000,0.999140,0.000003,0.997766,0.000536,0.000683
C12_Q2_10,hCal,C12,9.500000,23.200000,21.600000,5.539000,5.925000,0.987524,0.000011,0.983672,0.001443,0.001574
C12_Q2_10,hCer,C12,9.500000,23.200000,21.600000,5.539000,5.925000,0.989075,0.000010,0.985972,0.001340,0.001472
C12_Q2_12,pCer,C12,11.500000,28.500000,17.800000,4.478000,7.001000,0.998359,0.000032,0.997557,0.001055,0.001649
C12_Q2_12,hCal,C12,11.500000,28.500000,17.800000,4.478000,7.001000,0.969017,0.000108,0.960489,0.004234,0.004691
C12_Q2_12,hCer,C12,11.500000,28.500000,17.800000,4.478000,7.001000,0.997635,0.000042,0.992225,0.001919,0.002457
C12_Q2_14,pCer,C12,14.300000,39.300000,12.800000,2.982000,8.505000,0.996239,0.000072,0.991720,0.002703,0.003758
C12_Q2_14,hCal,C12,14.300000,39.300000,12.800000,2.982000,8.505000,0.970581,0.000262,0.965085,0.005497,0.006398
C12_Q2_14,hCer,C12,14.300000,39.300000,12.800000,2.982000,8.505000,0.990906,0.000174,0.987179,0.003373,0.004385
