kinematics,detector,target,Q2,deltaBinCenter,efficiency,weight,efficiencyErrorMax,efficiencyErrorUp,efficiencyErrorLo,nShould,nDid,goodEvents
LH2_Q2_8,pCer,LH2,8,-9.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,-8.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,-7.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,-6.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,-5.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,-4.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,-3.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,-2.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,-1.5,1,65.8602,0.123222,0,0.123222,14,14,13
LH2_Q2_8,pCer,LH2,8,-0.5,0.996063,12360.5,0.00899459,0.00325711,0.00899459,254,253,235
LH2_Q2_8,pCer,LH2,8,0.5,0.998768,380110,0.00162198,0.000795413,0.00162198,1624,1622,1499
LH2_Q2_8,pCer,LH2,8,1.5,0.999291,1.14394e+06,0.000934973,0.00045824,0.000934973,2819,2817,2609
LH2_Q2_8,pCer,LH2,8,2.5,0.998941,943775,0.00102936,0.000576466,0.00102936,2832,2829,2621
LH2_Q2_8,pCer,LH2,8,3.5,0.998175,318524,0.00177186,0.000992969,0.00177186,1644,1641,1508
LH2_Q2_8,pCer,LH2,8,4.5,1,31148.6,0.00566605,0,0.00566605,324,324,283
LH2_Q2_8,pCer,LH2,8,5.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,6.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,7.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,8.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,9.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,10.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,11.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,12.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,13.5,0,0,1,1,0,0,0,0
LH2_Q2_8,pCer,LH2,8,14.5,0,0,1,1,0,0,0,0
LH2_Q2_8,hCal,LH2,8,-7.5,0.933333,53.2171,0.13708,0.0552158,0.13708,15,14,0
LH2_Q2_8,hCal,LH2,8,-6.5,1,359.956,0.0527078,0,0.0527078,34,34,0
LH2_Q2_8,hCal,LH2,8,-5.5,1,2385.78,0.0204732,0,0.0204732,89,89,0
LH2_Q2_8,hCal,LH2,8,-4.5,1,33890.7,0.005432,0,0.005432,338,338,0
LH2_Q2_8,hCal,LH2,8,-3.5,0.998325,67775.5,0.00384117,0.00138571,0.00384117,597,596,0
LH2_Q2_8,hCal,LH2,8,-2.5,0.996109,70343.1,0.00377042,0.00211692,0.00377042,771,768,0
LH2_Q2_8,hCal,LH2,8,-1.5,0.994018,79088.3,0.00355585,0.00237032,0.00355585,1003,997,0
LH2_Q2_8,hCal,LH2,8,-0.5,0.990787,74042,0.00367503,0.00272882,0.00367503,1194,1183,0
LH2_Q2_8,hCal,LH2,8,0.5,0.992395,96016,0.00322722,0.00235981,0.00322722,1315,1305,13
LH2_Q2_8,hCal,LH2,8,1.5,0.993765,106753,0.00306062,0.00215493,0.00306062,1283,1275,235
LH2_Q2_8,hCal,LH2,8,2.5,0.994531,94529.3,0.0032525,0.00216741,0.0032525,1097,1091,1499
LH2_Q2_8,hCal,LH2,8,3.5,0.996556,89694.3,0.00333901,0.00187395,0.00333901,871,868,2609
LH2_Q2_8,hCal,LH2,8,4.5,0.993232,35344.5,0.00531911,0.00323642,0.00531911,591,587,2621
LH2_Q2_8,hCal,LH2,8,5.5,0.996914,20055.8,0.00706123,0.00255337,0.00706123,324,323,1508
LH2_Q2_8,hCal,LH2,8,6.5,1,300.794,0.0576587,0,0.0576587,31,31,283
LH2_Q2_8,hCal,LH2,8,7.5,1,1.41271,0.841345,0,0.841345,1,1,0
LH2_Q2_8,hCer,LH2,8,-7.5,1,65.8602,0.123222,0,0.123222,14,14,0
LH2_Q2_8,hCer,LH2,8,-6.5,1,359.956,0.0527078,0,0.0527078,34,34,0
LH2_Q2_8,hCer,LH2,8,-5.5,1,2385.78,0.0204732,0,0.0204732,89,89,0
LH2_Q2_8,hCer,LH2,8,-4.5,1,33890.7,0.005432,0,0.005432,338,338,0
LH2_Q2_8,hCer,LH2,8,-3.5,1,105127,0.0030842,0,0.0030842,596,596,0
LH2_Q2_8,hCer,LH2,8,-2.5,1,174440,0.00239429,0,0.00239429,768,768,0
LH2_Q2_8,hCer,LH2,8,-1.5,0.998998,188982,0.00230033,0.000828919,0.00230033,998,997,0
LH2_Q2_8,hCer,LH2,8,-0.5,0.99747,166002,0.00245439,0.00137634,0.00245439,1186,1183,0
LH2_Q2_8,hCer,LH2,8,0.5,0.997706,201816,0.00222598,0.00124799,0.00222598,1308,1305,13
LH2_Q2_8,hCer,LH2,8,1.5,0.999216,308708,0.00179981,0.000648321,0.00179981,1276,1275,235
LH2_Q2_8,hCer,LH2,8,2.5,0.999084,226194,0.00210261,0.000757564,0.00210261,1092,1091,1499
LH2_Q2_8,hCer,LH2,8,3.5,1,222763,0.00211874,0,0.00211874,868,868,2609
LH2_Q2_8,hCer,LH2,8,4.5,1,101981,0.00313141,0,0.00313141,587,587,2621
LH2_Q2_8,hCer,LH2,8,5.5,1,30957.2,0.00568354,0,0.00568354,323,323,1508
LH2_Q2_8,hCer,LH2,8,6.5,1,300.794,0.0576587,0,0.0576587,31,31,283
LH2_Q2_8,hCer,LH2,8,7.5,1,1.41271,0.841345,0,0.841345,1,1,0
LH2_Q2_10,pCer,LH2,9.5,-9.5,0,0,1,1,0,0,0,0
LH2_Q2_10,pCer,LH2,9.5,-8.5,0,0,1,1,0,0,0,0
LH2_Q2_10,pCer,LH2,9.5,-7.5,0,0,1,1,0,0,0,0
LH2_Q2_10,pCer,LH2,9.5,-6.5,0,0,1,1,0,0,0,0
LH2_Q2_10,pCer,LH2,9.5,-5.5,1,1.41271,0.841345,0,0.841345,1,1,1
LH2_Q2_10,pCer,LH2,9.5,-4.5,1,84.6476,0.108691,0,0.108691,16,16,16
LH2_Q2_10,pCer,LH2,9.5,-3.5,1,7545.71,0.011512,0,0.011512,159,159,147
LH2_Q2_10,pCer,LH2,9.5,-2.5,0.997167,23786.7,0.00648385,0.00234359,0.00648385,353,352,324
LH2_Q2_10,pCer,LH2,9.5,-1.5,1,49819.5,0.00448023,0,0.00448023,410,410,391
