spectrometer,target,Q2,efficiency,efficiencyErrorUp,efficiencyErrorLow,nShould
HMS,LH2,8.000000,0.988017,0.000888,0.000955,15012
HMS,LH2,9.500000,0.988753,0.001038,0.001137,10314
HMS,LH2,11.500000,0.991423,0.002055,0.002611,1982
HMS,LH2,14.300000,0.975022,0.003267,0.003712,2282
HMS,C12,8.000000,0.984822,0.000631,0.000657,37620
HMS,C12,9.500000,0.977951,0.001458,0.001555,10159
HMS,C12,11.500000,0.963683,0.002997,0.003244,3910
HMS,C12,14.300000,0.961252,0.001063,0.001091,33034
SHMS,LH2,8.000000,0.878425,0.002583,0.002631,16097
SHMS,LH2,9.500000,0.934136,0.002339,0.002417,11296
SHMS,LH2,11.500000,0.918965,0.005649,0.006018,2357
SHMS,LH2,14.300000,0.846154,0.007499,0.007801,2353
SHMS,C12,8.000000,0.837138,0.002541,0.002573,21245
SHMS,C12,9.500000,0.863314,0.003060,0.003118,12686
SHMS,C12,11.500000,0.763374,0.006144,0.006254,4860
SHMS,C12,14.300000,0.532624,0.004277,0.004282,13824
