spectrometer,target,Q2,efficiency,efficiencyErrorUp,efficiencyErrorLow,nShould
HMS,LH2,8.000000,1.000000,0.000000,0.000146,12597
HMS,LH2,9.500000,1.000000,0.000000,0.000184,9995
HMS,LH2,11.50000,1.000000,0.000000,0.000968,1901
HMS,LH2,14.30000,1.000000,0.000000,0.001154,1594
HMS,C12,8.000000,1.000000,0.000000,0.000260,7067
HMS,C12,9.500000,1.000000,0.000000,0.000199,9240
HMS,C12,11.50000,1.000000,0.000000,0.000654,2815
HMS,C12,14.30000,1.000000,0.000000,0.000749,2458
SHMS,LH2,8.00000,0.880999,0.002585,0.002634,157773
SHMS,LH2,9.50000,0.936910,0.002321,0.002402,11016
SHMS,LH2,11.5000,0.927448,0.005448,0.005837,2288
SHMS,LH2,14.3000,0.882156,0.007092,0.007469,2096
SHMS,C12,8.00000,0.860142,0.002526,0.002565,18955
SHMS,C12,9.50000,0.896050,0.002927,0.003001,10938
SHMS,C12,11.5000,0.825591,0.006299,0.006480,3681
SHMS,C12,14.3000,0.565000,0.005669,0.005686,7800
